Altium Designer Pick and Place Locations
E:\admin_2\Documents\GitHub\ElectronBot\micro_maix_II\Project Outputs for maix_2\Pick Place\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       20/09/22
Time:       20:32
Revision:   b45426fd4982176788666dc756a9dd0e52987716
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C6","22 ¦ÌF","TopLayer","CAP_TAN_A1206","770.000","350.000","90","CAP CER 10UF 2.5V X5R 0402"
"J1","Socket","TopLayer","M.2_SMT-FEMALE_-_FULL","1450.743","1043.622","270","Socket"
"J2","NGFF-67P_B-KEY×ù×Ó 4.2H¸ß","TopLayer","M2-67P0R50_B_FEMALE","475.945","1045.000","90",""
"U4","AMS1117-3.3","TopLayer","SOT229P700X180-4N","1000.000","300.000","270","Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator"
"U1","AMS1117-1.8","TopLayer","SOT89-3","519.000","475.000","180","Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator"
"P4","61300611121","TopLayer","61300611121","1050.000","525.000","0","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 6 pins"
"P3","61300611121","TopLayer","61300611121","1140.000","90.000","0","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 6 pins"
"J4","TF-01A","TopLayer","TF-01A","1033.000","1088.283","180","<b>Connector - Card Sockets 8 1.1mm SMD RoHS</b><p> Source: <a href="https://datasheet.lcsc.com/szlcsc/1903221101_Korean-Hroparts-Elec-TF-01A_C91145.pdf"> Datasheet </a>"
"R11","1 kOhms","TopLayer","RES_0402_1005","1205.000","610.000","0","RES 1K OHM 0.01% 1/16W 0402"
"R10","10 kOhms","TopLayer","RES_0402_1005","1260.000","210.000","180","RES 10K OHM 0.1% 1/10W 0402"
"R9","10 kOhms","TopLayer","RES_0402_1005","211.000","1446.000","0","RES 10K OHM 0.1% 1/10W 0402"
"R8","5.1 kOhms","TopLayer","RES_0402_1005","710.000","190.000","90","RES 5.1K OHM 0.1% 1/16W 0402"
"R7","5.1 kOhms","TopLayer","RES_0402_1005","710.000","80.000","90","RES 5.1K OHM 0.1% 1/16W 0402"
"R6","10 kOhms","TopLayer","RES_0402_1005","160.000","920.000","0","P2TC0402 2PPM/C 10K 0,01% N TA"
"R5","1.5 kOhms","TopLayer","RES_0402_1005","80.000","900.000","90","PTN0402 10PPM 1.5K 0.1% S T1 E1"
"R4","10 kOhms","TopLayer","RES_0402_1005","160.000","870.000","0","P2TC0402 2PPM/C 10K 0,01% N TA"
"R3","1.5 kOhms","TopLayer","RES_0402_1005","30.000","900.000","90","PTN0402 10PPM 1.5K 0.1% S T1 E1"
"R2","22 Ohms","BottomLayer","RES_0402_1005","430.000","1070.000","0","RES 22 OHM 1% 1/8W 0402"
"R1","22 Ohms","BottomLayer","RES_0402_1005","430.000","1020.000","0","RES 22 OHM 1% 1/8W 0402"
"Q1","SI2302","TopLayer","FP-S-03946-IPC_B","650.000","500.000","270","MOSFET N-CH 20V 2.9A SOT23-3"
"P1","CAMERA_BTB","TopLayer","F_24PIN","143.000","1163.000","0","Header, 12-Pin, Dual row"
"J3","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","480.000","213.484","0","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"D2","Red","TopLayer","LED_0603_RED","1260.000","260.000","0","0402 LED RED, CLEAR LENS, 330MCD"
"D1","Green","TopLayer","LED_0603_GREEN","210.000","1393.000","180","LED GREEN CLEAR 2SMD"
"C5","10 ¦ÌF","TopLayer","CAP_0402_1005","800.000","220.000","270","CAP CER 10UF 2.5V X5R 0402"
"C4","22 ¦ÌF","TopLayer","CAP_TAN_A1206","310.000","460.000","90","CAP CER 10UF 2.5V X5R 0402"
"C3","10 ¦ÌF","TopLayer","CAP_0402_1005","310.000","570.000","180","CAP CER 10UF 2.5V X5R 0402"
"C2","10 ¦ÌF","TopLayer","CAP_0402_1005","1165.000","820.000","0","CAP CER 10UF 2.5V X5R 0402"
"C1","10 ¦ÌF","TopLayer","CAP_0402_1005","100.000","1390.000","0","CAP CER 10UF 2.5V X5R 0402"
